Year,min,max,weightedavg
1989,10.50,11.50,11.49
1990,10.50,11.50,11.41
1991,10.50,12.50,11.78
1992,12.00,12.75,12.46
1993,12.00,13.40,12.63
1994,11.00,12.71,11.90
1995,13.25,14.00,13.75
1996,13.40,13.85,13.69
1997,10.85,13.05,12.01
1998,11.10,12.60,11.86
1999,10.73,12.45,11.77
2000,9.47,11.70,10.95
2001,6.98,11.00,9.44
2002,6.57,8.62,7.34
2003,4.62,6.35,5.71
2004,4.49,8.24,6.11
2005,6.70,7.79,7.34
2006,7.06,8.75,7.89
2007,7.55,8.64,8.12
2008,7.69,8.81,7.69
2009,6.07,8.43,7.23
2010,5.98,8.67,7.92
2011,7.80,10.01,8.52
2012,7.86,8.82,8.36
2013,7.16,9.40,8.45
2014,7.65,9.42,8.51
2015,7.54,8.27,7.89
2016,6.13,7.87,7.16
2017,6.42,7.67,6.97
2018,6.57,8.42,7.78
2019,5.57,7.78,6.85
