,g,i
1968,5.885144248,5
1969,10.10171064,5
1970,6.800041706,5
1971,7.055254866,6
1972,10.22632572,6
1973,21.71281883,7
1974,18.0504181,9
1975,7.350377554,9
1976,7.744447499,9
1977,13.30096164,9
1978,8.313358823,9
1979,9.665996867,9
1980,19.01932229,9
1981,17.48411223,10
1982,11.85298694,10
1983,16.46516128,10
1984,12.04669666,10
1985,12.82606768,10
1986,11.89026469,10
1987,13.66313308,10
1988,18.65290699,10
1989,14.88591819,10
1990,16.79208416,10
1991,14.95398392,12
1992,14.93905354,12
1993,15.08107031,12
1994,17.30353245,12
1995,17.3236477,12
1996,15.69641823,12
1997,10.7883695,9
1998,14.68996541,9
1999,12.18557385,8
2000,7.625964299,8
2001,8.194702513,6.5
2002,7.661002792,6.25
2003,12.03220325,6
2004,14.1019707,6
2005,13.99078149,6
2006,17.13884795,6
2007,15.13723236,6
2008,12.56445777,6
2009,15.45575997,6
2010,19.91807395,6
2011,14.43267957,6
2012,13.82367614,9
2013,12.96768713,8.75
2014,10.98887529,9
2015,10.45812371,7.75
2016,11.76161728,6.75
2017,11.0880425,6.25
2018,10.9539117,6.75
2019,7.214142046,5.4
2020,-7.5,4.25
