Date,Inflation ,Target
01/11/2013,11.46788991,8
01/12/2013,9.132420091,8
01/01/2014,7.239819005,8
01/02/2014,6.726457399,8
01/03/2014,6.696428571,8
01/04/2014,7.079646018,8
01/05/2014,7.01754386,8
01/06/2014,6.493506494,8
01/07/2014,7.234042553,8
01/08/2014,6.751054852,8
01/09/2014,6.302521008,8
01/10/2014,4.979253112,8
01/11/2014,4.115226337,8
01/12/2014,5.857740586,8
01/01/2015,7.172995781,8
01/02/2015,6.302521008,6
01/03/2015,6.276150628,6
01/04/2015,5.785123967,6
01/05/2015,5.737704918,6
01/06/2015,6.097560976,6
01/07/2015,4.365079365,6
01/08/2015,4.347826087,6
01/09/2015,5.138339921,6
01/10/2015,6.324110672,6
01/11/2015,6.719367589,6
01/12/2015,6.324110672,6
01/01/2016,5.905511811,5
01/02/2016,5.533596838,5
01/03/2016,5.511811024,5
01/04/2016,5.859375,5
01/05/2016,6.589147287,5
01/06/2016,6.130268199,5
01/07/2016,6.463878327,5
01/08/2016,5.303030303,5
01/09/2016,4.135338346,5
01/10/2016,3.345724907,5
01/11/2016,2.592592593,5
01/12/2016,2.230483271,5
