DATE,INDCPIALLMINMEI,inflationrate,upperrange,lowerrange
01/01/2016,102.9008607,5.905511811,4,2
01/02/2016,102.1357985,5.533596838,4,2
01/03/2016,102.5183296,5.511811024,4,2
01/04/2016,103.6659229,5.859375,4,2
01/05/2016,105.1960472,6.589147287,4,2
01/06/2016,105.9611093,6.130268199,4,2
01/07/2016,107.1087026,6.463878327,4,2
01/08/2016,106.3436404,5.303030303,4,2
01/09/2016,105.9611093,4.135338346,4,2
01/10/2016,106.3436404,3.345724907,4,2
01/11/2016,105.9611093,2.592592593,4,2
01/12/2016,105.1960472,2.230483271,4,2
01/01/2017,104.8135161,1.858736059,4,2
01/02/2017,104.8135161,2.621722846,4,2
01/03/2017,105.1960472,2.611940299,4,2
01/04/2017,105.9611093,2.21402214,4,2
01/05/2017,106.3436404,1.090909091,4,2
01/06/2017,107.1087026,1.083032491,4,2
01/07/2017,109.021358,1.785714286,4,2
01/08/2017,109.021358,2.517985612,4,2
01/09/2017,109.021358,2.888086643,4,2
01/10/2017,109.7864201,3.237410072,4,2
01/11/2017,110.1689512,3.971119134,4,2
01/12/2017,109.4038891,4,4,2
01/01/2018,110.1689512,5.109489051,4,2
01/02/2018,109.7864201,4.744525547,4,2
01/03/2018,109.7864201,4.363636364,4,2
01/04/2018,110.1689512,3.971119134,4,2
01/05/2018,110.5514823,3.956834532,4,2
01/06/2018,111.3165445,3.928571429,4,2
01/07/2018,115.1418553,5.614035088,4,2
01/08/2018,115.1418553,5.614035088,4,2
01/09/2018,115.1418553,5.614035088,4,2
01/10/2018,115.5243864,5.226480836,4,2
01/11/2018,115.5243864,4.861111111,4,2
01/12/2018,115.1418553,5.244755245,4,2
01/01/2019,117.4370418,6.597222222,4,2
01/02/2019,117.4370418,6.968641115,4,2
01/03/2019,118.2021039,7.665505226,4,2
01/04/2019,119.3496972,8.333333333,4,2
01/05/2019,120.1147593,8.650519031,4,2
01/06/2019,120.8798215,8.591065292,4,2
01/07/2019,122.0274147,5.980066445,4,2
01/08/2019,122.4099458,6.312292359,4,2
01/09/2019,123.175008,6.976744186,4,2
01/10/2019,124.3226012,7.61589404,4,2
01/11/2019,125.4701945,8.609271523,4,2
01/12/2019,126.2352566,9.634551495,4,2
01/01/2020,126.2352566,7.491856678,4,2
01/02/2020,125.4701945,6.840390879,4,2
01/03/2020,124.7051323,5.501618123,4,2
01/04/2020,125.8527255,5.448717949,4,2
01/05/2020,126.2352566,5.095541401,4,2
01/06/2020,127.0003188,5.063291139,4,2
01/07/2020,128.5304431,5.329153605,4,2
01/08/2020,129.2955053,5.625,4,2
01/09/2020,130.1178589,5.636574405,4,2
01/10/2020,131.660323,5.902162354,4,2
01/11/2020,132.101027,5.284787007,4,2
01/12/2020,130.889091,3.686635945,4,2
01/01/2021,130.2280349,3.162966066,4,2
01/02/2021,131.109443,4.494492526,4,2
01/03/2021,131.770499,5.665658308,4,2
